Category;Metric;type;days for shipping (real);days for shipment (scheduled);benefit per order;sales per customer;delivery status;late_delivery_risk;category id;category name;customer city;customer country;customer email;customer fname;customer id;customer lname;customer password;customer segment;customer state;customer street;customer zipcode;department id;department name;latitude;longitude;market;order city;order country;order customer id;order date (dateorders);order id;order item cardprod id;order item discount;order item discount rate;order item id;order item product price;order item profit ratio;order item quantity;sales;order item total;order profit per order;order region;order state;order status;order zipcode;product card id;product category id;product description;product image;product name;product price;product status;shipping date (dateorders);shipping mode
Cardinalities;Number of Rows;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000;5 000,0000
Cardinalities;# Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;4 718,0000;0,0000;0,0000;5 000,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;% Null Values;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;94,3600;0,0000;0,0000;100,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Cardinalities;Cardinality;4,0000;7,0000;4,0000;3 666,0000;948,0000;4,0000;2,0000;42,0000;41,0000;496,0000;2,0000;1,0000;548,0000;3 486,0000;888,0000;1,0000;3,0000;42,0000;2 741,0000;851,0000;11,0000;11,0000;2 808,0000;1 533,0000;5,0000;1 473,0000;122,0000;3 486,0000;3 969,0000;3 969,0000;80,0000;483,0000;18,0000;5 000,0000;53,0000;146,0000;5,0000;123,0000;948,0000;3 666,0000;23,0000;629,0000;9,0000;141,0000;80,0000;42,0000;0,0000;80,0000;80,0000;53,0000;1,0000;3 964,0000;4,0000
Cardinalities;Uniqueness;0,0800;0,1400;0,0800;73,3200;18,9600;0,0800;0,0400;0,8400;0,8200;9,9200;0,0400;0,0200;10,9600;69,7200;17,7600;0,0200;0,0600;0,8400;54,8200;17,0200;0,2200;0,2200;56,1600;30,6600;0,1000;29,4600;2,4400;69,7200;79,3800;79,3800;1,6000;9,6600;0,3600;100,0000;1,0600;2,9200;0,1000;2,4600;18,9600;73,3200;0,4600;12,5800;0,1800;2,8200;1,6000;0,8400;0,0000;1,6000;1,6000;1,0600;0,0200;79,2800;0,0800
Data type info;Basic type;String;Numeric;Numeric;Numeric;Numeric;String;Numeric;Numeric;String;String;String;String;String;Numeric;String;String;String;String;String;Numeric;Numeric;String;Numeric;Numeric;String;String;String;Numeric;String;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;Numeric;String;String;String;Numeric;Numeric;Numeric;Null;String;String;Numeric;Numeric;String;String
Data type info;Data type;String;Integer;Integer;Double;Double;String;Integer;Integer;String;String;String;String;String;Integer;String;String;String;String;String;Integer;Integer;String;Double;Double;String;String;String;Integer;String;Integer;Integer;Double;Double;Integer;Double;Double;Integer;Double;Double;Double;String;String;String;Integer;Integer;Integer;Object;String;String;Double;Integer;String;String
Data type info;Minimum;4,0000;0,0000;0,0000;-1 140,7900;9,2600;13,0000;0,0000;2,0000;4,0000;4,0000;7,0000;9,0000;2,0000;6,0000;2,0000;9,0000;8,0000;2,0000;12,0000;603,0000;2,0000;4,0000;17,9825;-158,0260;4,0000;3,0000;4,0000;6,0000;13,0000;58,0000;24,0000;0,0000;0,0000;138,0000;11,2900;-2,7500;1,0000;11,2900;9,2600;-1 140,7900;6,0000;3,0000;6,0000;1 841,0000;24,0000;2,0000;;36,0000;5,0000;11,2900;0,0000;13,0000;8,0000
Data type info;Maximum;8,0000;6,0000;4,0000;599,2500;1 417,5000;17,0000;1,0000;76,0000;20,0000;20,0000;11,0000;9,0000;11,0000;20 755,0000;11,0000;9,0000;11,0000;2,0000;32,0000;98 115,0000;12,0000;18,0000;47,8432;115,0498;12,0000;30,0000;31,0000;20 755,0000;16,0000;77 202,0000;1 363,0000;375,0000;0,2500;180 517,0000;1 500,0000;0,5000;5,0000;1 500,0000;1 417,5000;599,2500;15,0000;36,0000;15,0000;99 301,0000;1 363,0000;76,0000;;94,0000;45,0000;1 500,0000;0,0000;16,0000;14,0000
Data type info;Average;6,0000;3,0000;3,0000;22,6291;191,9517;14,0000;0,0000;28,0000;11,0000;7,0000;8,0000;9,0000;5,0000;7 752,0000;5,0000;9,0000;8,0000;2,0000;19,0000;31 692,0000;4,0000;6,0000;28,3115;-82,9032;7,0000;8,0000;8,0000;7 752,0000;14,0000;37 944,0000;600,0000;22,2775;0,1038;93 880,0000;131,9279;0,1148;2,0000;214,2289;191,9517;22,6291;12,0000;11,0000;9,0000;3 082,0000;600,0000;28,0000;;68,0000;33,0000;131,9279;0,0000;14,0000;13,0000
